A -> B, 1 14,	0.2766091, 0.527861, 1.1405952 , valid positive
A -> !B, 1 14,	0.24740973, 0.472139, 0.8788794
!A -> B, 1 14,	0.18618524, 0.39116094, 0.8452155
!A -> !B, 1 14,	0.28979594, 0.6088391, 1.1333443 , valid negative
A -> B, 1 23,	0.2810047, 0.5362492, 0.9399856
A -> !B, 1 23,	0.24301413, 0.46375078, 1.0797122 , valid negative
!A -> B, 1 23,	0.28948197, 0.60817945, 1.0660713 , valid negative
!A -> !B, 1 23,	0.18649921, 0.39182055, 0.912243
A -> B, 1 3,	0.46530613, 0.8879569, 0.99617565
A -> !B, 1 3,	0.05871269, 0.11204308, 1.0313792 , valid negative
!A -> B, 1 3,	0.42605963, 0.89511865, 1.0042104 , valid negative
!A -> !B, 1 3,	0.049921542, 0.10488134, 0.96545386
A -> B, 1 50,	0.31271586, 0.59676456, 0.9623773
A -> !B, 1 50,	0.21130297, 0.40323544, 1.061409 , valid negative
!A -> B, 1 50,	0.30737832, 0.6457783, 1.0414196 , valid negative
!A -> !B, 1 50,	0.16860285, 0.35422167, 0.93239343
A -> B, 11 15,	0.50957614, 0.76232976, 1.1984307 , valid positive
A -> !B, 11 15,	0.15886968, 0.23767024, 0.6531317
!A -> B, 11 15,	0.12653059, 0.3816287, 0.5999445
!A -> !B, 11 15,	0.20502359, 0.6183713, 1.6993204 , valid negative
A -> B, 11 24,	0.31177393, 0.46641615, 1.0772556 , valid positive
A -> !B, 11 24,	0.3566719, 0.5335839, 0.94101036
!A -> B, 11 24,	0.12119311, 0.36553034, 0.84424514
!A -> !B, 11 24,	0.21036106, 0.6344696, 1.1189291 , valid negative
A -> B, 11 42,	0.5472528, 0.8186943, 0.9607742
A -> !B, 11 42,	0.12119305, 0.1813057, 1.2260271 , valid negative
!A -> B, 11 42,	0.30486655, 0.9195075, 1.0790831 , valid negative
!A -> !B, 11 42,	0.026687622, 0.0804925, 0.54430705
A -> B, 11 51,	0.26938775, 0.4030061, 1.0512486 , valid positive
A -> !B, 11 51,	0.39905807, 0.5969939, 0.9681393
